"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2","2","10uf","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C3","1","220uf","","","","Capacitor_THT:CP_Radial_D8.0mm_P3.80mm",""
"D1,D2,D3,D4,D5,D6,D7,D8,D9,D10","10","PL9823","","","","9823n:pl9823n","http://akizukidenshi.com/download/ds/rita/pl9823.pdf"
"D11","1","1N4148","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"J2","1","USB_C_Receptacle_PowerOnly_6P","","","","Connector_USB:USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"M1","1","Motor_DC","","","","Motors:Vybronics_VZ30C1T8219732L",""
"PRG1","1","TP_2P1","","","","TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm",""
"Q1","1","IRLZ44N","","","","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","http://www.irf.com/product-info/datasheets/data/irlz44n.pdf"
"R1,R2,R3,R4,R5,R7,R8,R9","8","10k","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"R6","1","470","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"R10,R11","2","5.1K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"RST1","1","TP_2P2","","","","TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm",""
"SW1,SW2,SW3,SW4","4","SW_Push","","","","Button_Switch_THT:SW_PUSH_6mm_H5mm",""
"TP1,TP2,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13","11","TestPoint","","","","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm",""
"U1","1","ESP-12E","","","","RF_Module:ESP-12E","http://wiki.ai-thinker.com/_media/esp8266/esp8266_series_modules_user_manual_v1.1.pdf"
"U2","1","AMS1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
